treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_CL_chest_big",1,0,0,0,0,0,0,0
new treasuretable "DEN_Weaponsmith_Trade"
CanMerge 1
new subtable "1,1"
object category "I_CL_chest_big",1,0,0,0,0,0,0,0
new treasuretable "MOO_BugBearvendor_Trade"
CanMerge 1
new subtable "1,1"
object category "I_CL_chest_big",1,0,0,0,0,0,0,0
new treasuretable "WYR_Circus_KoboldMerchant_Magic"
CanMerge 1
new subtable "1,1"
object category "I_CL_chest_big",1,0,0,0,0,0,0,0
new treasuretable "LOW_DevilsFee_Diabolist_Trade_Magic"
CanMerge 1
new subtable "1,1"
object category "I_CL_chest_big",1,0,0,0,0,0,0,0
new treasuretable "CL_chest_big_TT"
CanMerge 1
new subtable "1,1"
object category "I_CL_chest_Sel",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_chest_Shar",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Camp_Bag_Camp",1,0,0,0,0,0,0,0
new treasuretable "CL_chest_Sel_TT"
CanMerge 1
new subtable "1,1"
object category "I_CL_Sel_DeathBag",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Sel_LifeBag",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Sel_LightBag",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Sel_TempBag",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Sel_WarBag",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Sel_Gloves_Bracers",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Sel_GlovesBracelets_Sel",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Sel_Gloves_Decor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Sel_Gloves_Endgame",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CL_Sel_GlovesIso_Sel",1,0,0,0,0,0,0,0
new subtable "1,1"
