treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "CONT_GEN_Chest_GrannyRings_DevPack"
CanMerge 1
new subtable "1,1"
object category "I_BOOK_GEN_Granny_Rings",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_U3_Update",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_Proficiency",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_SavingThrows",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_DamageImmunity",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_Resistance",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_PlusOne",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_PlusTwo",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_PlusThree",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_Damage",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_DamagePlus1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_Damage_Elemental",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_Advantage",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_StatusImmunity",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_Reaction",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GR_HB_Bag_Diety_Rings",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Granny_CONT_Pouch_Ringsof_Spells",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GR_HB_Set_01_Bag",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GR_HB_Bag_ButterflyRings",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GR_HB_Bag_Ambience",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GR_HB_Bag_AoERings",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GR_HB_Bag_ValueRings",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GR_HB_Bag_ImportantRings",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GR_HB_Bag_RingsOfLoss",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GLR_JewelryCraftingkit",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_Proficiency"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMusic",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofBattleaxes",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofGreataxes",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofClubs",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofGreatclubs",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofDaggers",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofFlails",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMorningstars",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofGlaives",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofGreatswords",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofHalberds",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofHandaxes",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofHandCrossbows",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofHeavyArmor",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofHeavyCrossbows",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofJavelins",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofLightArmor",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofLightCrossbows",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofLightHammers",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofLongbows",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofLongswords",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMaces",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMauls",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMediumArmor",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofPikes",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofQuarterstaffs",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofRapiers",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofScimitars",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofShields",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofShortbows",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofShortswords",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSickles",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSlings",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofDarts",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSpears",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofTridents",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofWarhammers",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofWarpicks",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_SavingThrows"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSavingStrength",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSavingDexterity",1,0,0,0,0,0,0,0
