treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "Ink850_CheatingBackPack_TT"
CanMerge 1
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Robe_0",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Hat_0",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Cloak_0",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatWpn_Staff_Gandalf_0",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatWpn_Sword_Gandalf_0",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_PowerRing_0",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_Gandalf_UpgradeTool_Weapon",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_Gandalf_UpgradeTool_Clothing",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialStaff_Gandalf_0",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialStaff_Gandalf_1",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialStaff_Gandalf_2",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialStaff_Gandalf_Univ",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialSword_Gandalf_0",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialSword_Gandalf_1",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialSword_Gandalf_2",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialSword_Gandalf_Univ",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialClothing_Gandalf_0",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialClothing_Gandalf_1",1,0,0,0,0,0,0,0
new subtable "10,1"
object category "I_Ink850_StatObj_MaterialClothing_Gandalf_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Robe_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Robe_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Robe_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Hat_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Hat_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Hat_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Cloak_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Cloak_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatArmor_Gandalf_Cloak_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatWpn_Staff_Gandalf_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatWpn_Staff_Gandalf_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatWpn_Staff_Gandalf_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatWpn_Sword_Gandalf_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatWpn_Sword_Gandalf_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_Ink850_StatWpn_Sword_Gandalf_3",1,0,0,0,0,0,0,0
